,county
Kitui,290
Makueni,210
Turkana,188
Baringo,182
Nakuru,181
Meru,178
Machakos,165
Kericho,158
Nandi,156
Muranga,149
Homa Bay,144
Nairobi,143
Kilifi,141
Nyeri,135
Kiambu,132
Kakamega,130
Migori,130
Uasin Gishu,129
West Pokot,125
Bungoma,124
Bomet,123
Kwale,111
Narok,110
Embu,110
Siaya,110
Kajiado,94
Elgeyo Marakwet,93
Tharaka Nithi,90
Laikipia,85
Kisii,83
Kirinyaga,77
Kisumu,76
Wajir,73
Busia,70
Nyamira,69
Marsabit,67
Samburu,66
Nyandarua,66
Garissa,63
Trans Nzoia,59
Tana River,58
Mandera,58
Vihiga,48
Taita Taveta,48
Mombasa,46
Isiolo,45
Lamu,31
